symbols	vmsize	filesize
PyErr_WriteUnraisable	812	858
instance_ilshift	817	858
instance_irshift	817	858
instance_iadd	817	855
instance_iand	817	855
instance_idiv	817	855
instance_imod	817	855
instance_imul	817	855
instance_isub	817	855
instance_ixor	817	855
instance_ior	817	854
readahead_get_line_skip	806	854
int_lshift	818	853
long_classic_div	810	851
buffer_subscript	808	849
instance_setattr	808	849
import_submodule	802	843
PyObject_CallMethodObjArgs	790	841
list_subscript	802	841
float_rem	806	840
_PyRandom_Init	799	838
PyObject_GenericSetAttr	787	835
instance_invert	795	835
_PyCode_ConstantKey	790	834
instance_float	795	834
assign_slice	795	832
instance_abs	795	832
instance_hex	795	832
instance_neg	795	832
instance_oct	795	832
instance_pos	795	832
PyInt_FromString	789	830
long_mul	797	830
string_join	794	830
set_xor	795	827
PyNumber_Int	789	826
Py_InitModule4_64	783	825
update_keyword_args	781	825
file_readinto	781	819
PyStructSequence_InitType	766	816
binary_op1	780	815
string_endswith	775	815
float_divmod	775	812
characterize.isra.5	766	810
set_or	779	810
readline_methods	768	809
wrapperdescr_call	764	806
_PySequence_IterSearch	757	804
frame_dealloc	765	803
PyFloat_FromString	758	801
_PyCodec_Lookup	756	796
code_new	763	796
long_div	762	795
long_mod	762	795
string_center	755	793
string_subscript	752	793
RunMainFromImporter	747	791
set_difference_update_internal	736	791
PyObject_CallFunctionObjArgs	735	788
string_zfill	751	788
SyntaxError_str	744	784
posix_fdopen	746	783
listextend	747	782
_PyLong_AsInt	743	781
set_difference	741	780
func_new	741	774
sys_methods	736	772
builtin_raw_input	728	770
string_startswith	727	769
PyDict_MergeFromSeq2	723	768
insertdict	730	765
O_writelines	727	764
class_lookup.part.2	720	764
PyWeakref_NewProxy	720	763
slot_tp_getattr_hook	717	762
PyLong_AsLong	723	761
_PyLong_AsByteArray	717	761
set_issuperset.part.1	715	761
lookdict	720	753
set_lookkey	716	752
posix_setgroups	708	748
weakref___new__	708	748
PyWeakref_NewRef	704	745
Py_UniversalNewlineFgets	696	745
_PyImportHooks_Init	701	745
PyBuffer_IsContiguous	698	744
_PyObject_RealIsSubclass	694	743
classmethoddescr_call	714	743
_PyObject_CallFunction_SizeT	689	742
builtin_execfile	701	742
gen_close	708	742
mapp_methods	704	741
int_mul	707	739
EnvironmentError_str	693	738
set_symmetric_difference_update	680	736
PyObject_CallFunction	689	735
warnings_warn_explicit	702	735
x_sub	704	734
float_classic_div	691	733
tp_new_wrapper	694	733
zipimporter_load_module	684	732
string_expandtabs	688	730
set_mro_error	691	729
PyClass_IsSubclass.part.13	675	726
builtin_eval	689	726
property_init	687	725
instance_getattr	683	724
PyNumber_InPlaceMultiply	673	722
kmul_split	685	720
wait_helper	684	720
type_repr	684	718
_PyType_Lookup	678	717
PyLong_AsLongAndOverflow	666	715
file_truncate	674	712
insertdict_by_entry	668	712
PySlice_GetIndicesEx	666	711
PyImport_Import	667	707
string_print	669	706
mro_subclasses.isra.46	658	705
PyMember_GetOne	664	704
float_div	670	704
PySequence_Fast	662	702
instance_compare	659	700
set_methods	672	696
object_new	658	693
set_intersection	651	692
call_method	655	691
buffer_ass_slice	649	690
slot_nb_nonzero	649	689
file_write	653	688
object_repr	651	687
[section .bss]	685	0
PyFloat_Fini	644	681
PyDict_Copy	642	678
PyObject_Format	638	678
_PyWarnings_Init	637	678
buffer_ass_item	637	677
dict_copy	642	676
zipimporter_get_source	627	674
gen_send	638	671
set_symmetric_difference	619	668
string_slice	631	668
instancemethod_repr	623	667
_PyTuple_Resize	626	666
string_splitlines	623	665
long_neg	628	661
posix_listdir	622	660
recurse_down_subclasses.isra.37.constprop.50	590	659
slot_tp_iter	621	658
call_method.constprop.49	608	657
set_isdisjoint	618	657
PyFrame_FastToLocals	609	654
SyntaxError_init	612	653
half_compare	613	650
string_ljust	613	650
PySet_Add	615	649
half_cmp	616	649
posix_execv	612	648
set_clear_internal	605	648
time_asctime	610	647
PyErr_GivenExceptionMatches	594	646
ensure_fromlist	605	645
slot_nb_floor_divide	597	642
instance_coerce	601	641
slot_nb_true_divide	597	641
code_memberlist	600	640
string_rjust	603	640
O_write	605	637
_PyOS_URandom	599	637
call_maybe.constprop.48	589	637
object_reduce_ex	595	636
compatible_for_assignment.part.25	577	635
IO_readlines	597	634
PySequence_Tuple	593	634
PyString_FromStringAndSize	583	634
float_add	598	632
float_mul	598	632
float_sub	598	632
slice_indices	593	631
int_classic_div	590	630
string_index	592	629
PyString_Concat	588	628
code_richcompare	586	627
string_rindex	589	627
int_abs	594	626
string_lstrip	588	626
sys_getsizeof	588	626
frozenset_copy	595	625
PyFile_WriteObject	580	623
slot_nb_coerce	584	623
slot_nb_remainder	581	623
tuplerepr	589	623
IO_StringIO	586	622
resource_getrusage	578	621
slot_nb_divmod	581	620
slot_nb_lshift	581	620
slot_nb_rshift	581	620
slot_nb_add	581	617
do_ignore	582	616
[LOAD [RX]]	614	614
string_find	577	613
imp_load_compiled	570	612
methoddescr_call	570	611
string_str	576	611
PyString_FromString	566	610
buffer_new	573	608
file_dealloc	569	606
EnvironmentError_init	558	604
make_new_set	563	600
_PyInt_Format	561	599
dict_compare	561	598
buffer_concat	559	597
float_coerce	560	597
PyErr_NoMemory	557	596
string_count	559	596
string_rfind	558	595
imp_load_package	566	594
merge_class_dict	552	593
set_remove	558	593
_PyObject_LengthHint	547	592
long_getnewargs	552	592
type_getattro	554	592
long_long	557	591
PyDict_SetItemString	545	590
PyArg_UnpackTuple	547	589
PyCodec_Decode	548	587
type_dealloc	549	586
dict_richcompare	543	584
list_richcompare	543	584
dictiter_iternextitem	536	582
instancemethod_new	539	582
file_methods	544	581
PyEval_CallMethod	538	580
PyNumber_AsSsize_t	537	580
set_copy	547	580
builtin_range	541	579
load_package	542	579
slot_nb_power	541	579
intern_string_constants	530	578
int_rshift	542	577
PyLong_FromDouble	534	576
float_is_integer	533	574
sys_setprofile	535	574
PyImport_ExecCodeModuleEx	523	573
listindex	539	573
set_issubset	536	573
super_getattro	534	573
sys_settrace	535	572
_PyLong_Copy	533	570
update_code_filenames.isra.2.part.3	508	568
try_3way_compare	526	567
PyErr_ExceptionMatches	517	564
PyImport_GetImporter	519	564
dict_to_map	527	563
file_seek	529	563
string_rstrip	523	561
abstract_issubclass	516	560
methods	512	560
set_lookkey_string	517	560
slot_tp_del	524	560
time_convert	522	559
buffer_compare	517	556
lookdict_string	514	554
SyntaxError_dealloc	509	553
PyList_Insert	513	551
gen_iternext	514	551
_PyCodecRegistry_Init	504	550
class_getattr	512	550
tuplesubscript	511	550
float_new	515	549
posix_getgroups	508	548
PyFrozenSet_New	507	547
internal_print	508	547
set_new	515	547
buffer_hash	510	546
set_add	514	546
structseq_reduce	505	546
PyDict_Clear.part.8	500	544
_Py_BuildValue_SizeT	499	544
float_trunc	506	542
PySet_New	507	541
PyTraceBack_Print	499	541
tuplerichcompare	500	541
call_readline	502	540
posix_statvfs	501	539
PyErr_NewException	495	538
int_mod	505	537
string_repeat	499	537
initresource	499	536
seterror.part.1	494	534
string_new	510	534
_PyObject_RealIsInstance	484	533
posix_fstatvfs	494	533
PyCodec_Encode	492	531
PyOS_StdioReadline	487	530
fastlex_MatchGlobToken	483	530
wrapperdescr_get	489	530
O_cwrite	496	529
fastsearch.constprop.38	481	529
recursive_isinstance	484	529
update_slot	493	529
string_strip	491	528
weakref_repr	491	528
signal_setitimer	485	526
enum_new	492	525
instance_ass_subscript	478	525
set_tp_print	488	525
PyObject_SetItem	483	524
_PyFloat_Unpack8	483	524
_PyObject_CallMethod_SizeT	473	524
initreadline	487	524
tuple_new	490	524
x_add	494	524
make_new_set.constprop.10	473	523
get_len_of_range_longs.part.3	468	522
reversed_new	485	522
instance_ass_item	478	520
int_div	488	520
merge_list_attr	480	520
PyMarshal_ReadLastObjectFromFile	461	518
Py_BuildValue	480	518
resource_setrlimit	475	518
set_contains	481	518
PyObject_CallMethod	473	517
assign_version_tag	474	517
imp_methods	480	516
string_concatenate	472	515
PyNumber_ToBase	474	514
add_subclass.isra.36	469	514
do_mktuple	479	514
get_module_info.isra.2	466	513
_PyDict_NewPresized	468	512
builtin_sorted	473	512
pendingcalls	512	37
type_call	476	510
enum_next	471	505
slot_tp_str	469	505
string_concat	467	505
map_to_dict	468	504
[section .gnu.version]	502	502
instance_long	464	502
PyCFunction_Call	460	501
PyObject_DelItem	460	501
PyObject_GetItem	460	501
set_add_entry	463	501
function_call	462	500
set_direct_contains	456	500
imp_init_builtin	458	499
IO_readline	462	498
builtin_apply	460	498
class_str	464	498
proxy_dealloc	436	498
[section .dynamic]	496	496
PySequence_Contains	450	494
set_issuperset	455	494
fcntl_fcntl	457	493
string_rpartition	451	493
string_partition	451	492
slot_tp_init	454	491
trace_trampoline	449	490
posix_utime	453	489
frame_getlocals	448	488
type_init	454	488
set_discard	451	487
list_repeat	449	485
GcMethods	448	482
instance_new	445	482
slot_sq_item	445	482
PyDict_SetItem	442	481
Py_UniversalNewlineFread.part.11	423	480
dict_pop	447	480
gen_dealloc	443	479
range_new	445	479
PyInt_AsUnsignedLongMask	429	478
dict_ass_sub	441	478
slot_nb_or	443	478
PyObject_Print	437	476
func_regex_match	435	476
slot_nb_multiply	435	476
slot_nb_subtract	435	476
PyObject_SetAttr	434	475
slot_sq_contains	434	475
slot_nb_divide	435	474
dict_print	438	473
fastlex_MatchPS1Token	427	473
structseq_subscript	429	473
O_methods	448	472
frame_clear	436	472
_PyFloat_Init	433	471
list_init	437	471
slot_nb_and	435	471
slot_nb_xor	435	471
SyntaxError_clear	428	470
wrap_cmpfunc	431	468
PyFunction_New	428	467
_PyInt_AsInt	430	467
type_subclasses	427	467
PyList_Append	428	466
PyString_FromStringAndSize.part.16	407	466
frame_traverse	424	463
inittimezone	425	462
PyInterpreterState_Delete	411	461
fastsearch.constprop.40	413	461
mywrite	429	461
object_set_class	420	461
PySequence_Concat	418	460
_PyModule_Clear	420	460
PyErr_Format	422	459
PyErr_SetFromErrnoWithFilenameObject	396	457
subtype_traverse	416	457
PySys_SetPath	418	456
super_init	421	456
time_mktime	420	456
PyLong_AsLongLong	413	455
classmethod_get	415	455
slice_new	421	455
code_dealloc	416	453
list_methods	416	453
string_richcompare	410	453
dict_dealloc	414	451
PyTuple_New	413	449
_PyExc_PendingDeprecationWarning	392	449
buffer_getwritebuf	406	449
extract_time	412	449
posix_constants_confstr	400	448
fcntl_lockf	411	447
setiter_iternext	406	447
PySequence_SetSlice	402	446
func_dealloc	409	446
proxy_methods	384	446
PyString_FromStringAndSize.constprop.37	381	445
Py_Finalize.part.4	402	445
_PyNumber_ConvertIntegralToInt	390	445
_PyWeakref_CallableProxyType	392	445
call_function_tail	401	444
PySequence_Repeat	401	443
_PyExc_NotImplementedError	392	443
IO_iternext	406	442
_PyExc_DeprecationWarning	392	442
_PyExc_FloatingPointError	392	442
_struct_sequence_template	392	442
subtype_setdict	402	442
_PyExc_KeyboardInterrupt	392	441
_PyExc_UnboundLocalError	392	441
_PyExc_ZeroDivisionError	392	441
PyClassMethodDescr_Type	392	440
_PyExc_EnvironmentError	392	440
_PyExc_IndentationError	392	440
float_long	405	440
PyDict_DelItemString	394	439
_PyExc_ArithmeticError	392	439
PyDict_GetItemString	393	438
PyNotImplemented_Type	392	438
_PyExc_AssertionError	392	438
_PyExc_AttributeError	392	438
_PyExc_ReferenceError	392	438
_PyExc_RuntimeWarning	392	438
_PyExc_UnicodeWarning	392	438
PyDictIterValue_Type	392	437
PyObject_AsFileDescriptor	387	437
_PyExc_BaseException	392	437
_PyExc_FutureWarning	392	437
_PyExc_GeneratorExit	392	437
_PyExc_ImportWarning	392	437
_PyExc_OverflowError	392	437
_PyExc_StandardError	392	437
_PyExc_StopIteration	392	437
_PyExc_SyntaxWarning	392	437
_PyWeakref_ProxyType	392	437
PyDictIterItem_Type	392	436
PyNullImporter_Type	392	436
PyStaticMethod_Type	392	436
PyWrapperDescr_Type	392	436
_PyExc_BytesWarning	392	436
_PyExc_RuntimeError	392	436
_PyExc_UnicodeError	392	436
fastsearch.constprop.39	388	436
PyClassMethod_Type	392	435
PyDictIterKey_Type	392	435
PyGetSetDescr_Type	392	435
PyListRevIter_Type	392	435
PyMemberDescr_Type	392	435
PyMethodDescr_Type	392	435
_PyExc_BufferError	392	435
_PyExc_ImportError	392	435
_PyExc_LookupError	392	435
_PyExc_MemoryError	392	435
_PyExc_SyntaxError	392	435
_PyExc_SystemError	392	435
_PyExc_UserWarning	392	435
_PyWeakref_RefType	392	435
initgc	404	435
PyBaseObject_Type	392	434
PyBaseString_Type	392	434
PyDictValues_Type	392	434
_PyExc_IndexError	392	434
_PyExc_SystemExit	392	434
_PyExc_ValueError	392	434
get_buf.constprop.12	389	434
set_dealloc	398	434
set_discard_key	394	434
PyCFunction_Type	392	433
PyDictItems_Type	392	433
PyDictProxy_Type	392	433
PyFrozenSet_Type	392	433
PySequence_GetSlice	389	433
PyTraceBack_Type	392	433
PyTupleIter_Type	392	433
Pyrangeiter_Type	392	433
ZipImporter_Type	392	433
_PyExc_Exception	392	433
_PyExc_NameError	392	433
_PyExc_TypeError	392	433
sortwrapper_type	392	433
PyCallIter_Type	392	432
PyDictKeys_Type	392	432
PyEllipsis_Type	392	432
PyFunction_Type	392	432
PyInstance_Type	392	432
PyListIter_Type	392	432
PyProperty_Type	392	432
PyReversed_Type	392	432
_PyExc_EOFError	392	432
_PyExc_KeyError	392	432
_PyExc_TabError	392	432
cmpwrapper_type	392	432
PyCapsule_Type	392	431
PySeqIter_Type	392	431
PySetIter_Type	392	431
_PyExc_IOError	392	431
_PyExc_OSError	392	431
_PyExc_Warning	392	431
frozenset_hash	392	431
long_coerce	395	431
module_repr	395	431
EnvironmentError_dealloc	381	430
PyBuffer_Type	392	430
PyList_New	395	430
PyMethod_Type	392	430
PyModule_Type	392	430
PyString_Type	392	430
func_set_code	392	430
listappend	395	430
PyClass_Type	392	429
PyFloat_Type	392	429
PyFrame_Type	392	429
PyInt_ClearFreeList	385	429
PyInt_Fini	394	429
PyRange_Type	392	429
PySlice_Type	392	429
PySuper_Type	392	429
PyTuple_Type	392	429
mkpwent	397	429
PyBool_Type	392	428
PyCell_Type	392	428
PyCode_Type	392	428
PyDict_New	393	428
PyDict_Type	392	428
PyEnum_Type	392	428
PyFile_Type	392	428
PyList_Type	392	428
PyLong_Type	392	428
PyNone_Type	392	428
PyType_Type	392	428
wrappertype	392	428
PyGen_Type	392	427
PyInt_Type	392	427
PySet_Type	392	427
frozenset_methods	384	426
PyDict_DelItem	386	425
call_trace_protected	380	425
property_deleter	383	424
PyFile_WriteString	380	423
float_setformat	383	423
Itype	392	422
Otype	392	422
time_methods	384	421
instancemethod_descr_get	371	420
signal_signal	381	419
stringlib_parse_args_finds.constprop.34	355	419
I_methods	384	418
list_inplace_repeat	374	418
buffer_getcharbuf	375	417
PyObject_AsCharBuffer	370	416
imp_find_module	375	415
property_setter	375	415
PyInt_AsLong	377	414
_PyObject_GC_NewVar	370	414
_Py_Dev_Converter	372	414
builtin_all	378	414
builtin_any	378	414
PyFloat_AsDouble	372	413
PyFile_SoftSpace	371	412
buffer_slice	375	412
create_filter	374	412
posix_putenv	375	412
PyOS_FiniInterrupts	367	411
PyOS_snprintf	373	411
statresult_new	372	411
_PyImport_Inittab	368	410
subtype_clear	372	410
_PySlice_FromIndices	364	409
int_add	377	409
int_sub	377	409
PyFile_FromFile	368	408
handle_system_exit.part.3	357	407
property_getter	367	407
slot_tp_new	370	406
_PyDict_MaybeUntrack	360	405
instance_int	368	405
PyFile_SetEncodingAndErrors	352	404
_Py_Gid_Converter	362	404
_Py_Uid_Converter	362	404
time_ctime	369	404
PyObject_HasAttrString	356	403
dictiter_iternextkey	358	403
instance_pow	365	402
sys_exc_clear	364	402
PyInt_AsSsize_t	360	400
buffer_getreadbuf	358	400
func_getsetlist	360	400
list_print	364	399
newIobject	364	399
int_neg	366	398
PyObject_Realloc	355	396
type_set_abstractmethods	347	396
buffer_item	359	395
wrap_sq_delitem	355	395
_PyFile_SanitizeMode	349	394
wrap_sq_setitem	354	394
FlagsType	392	34
FloatInfoType	392	38
Long_InfoType	392	38
StatResultType	392	39
StatVFSResultType	392	42
StructPwdType	392	38
StructRUsageType	392	41
StructTimeType	392	39
VersionInfoType	392	40
list_dealloc	355	392
wrap_sq_item	355	392
PyErr_SetFromErrno	348	391
PyObject_GetIter	350	391
builtin_input	353	391
dict_subscript	352	391
getbuffer	367	391
set_completion_display_matches_hook	331	391
PyObject_AsReadBuffer	344	390
PyTuple_GetSlice	348	389
IO_read	356	388
PyImport_AddModule	344	387
_PyObject_GC_New	346	387
PyTraceBack_Here	345	386
listinsert	351	386
set_next	353	386
tupledealloc	349	386
conv_confstr_confname	339	385
conv_sysconf_confname	339	385
PyTuple_New.part.5	341	384
tupleindex	349	384
zipimporter_repr	343	384
PyFloat_ClearFreeList	337	383
PyObject_Str	359	383
calliter_iternext	355	383
class_dealloc	345	383
buffer_getbuffer	341	382
conv_path_confname	339	382
generic_binary_op	339	381
string_capitalize	339	381
_PyImport_FixupExtension	331	380
_Py_VaBuildValue_SizeT	333	380
PyModule_AddObject	336	379
dict_items	344	379
islt	350	379
sys_displayhook	339	379
PyNumber_InPlaceAdd	332	376
adjust_tp_compare	333	375
do_strip	342	375
dict_popitem	337	374
PyType_GenericAlloc	329	373
_PyObject_GC_Malloc	329	373
getset_get	338	373
PyErr_SetFromErrnoWithFilename	317	372
file_close	337	372
set_startup_hook	331	372
PyNumber_Float	331	370
file_tell	336	370
slot_tp_repr	333	370
v_iadd	339	370
_PyObject_Str	331	369
set_completer	331	369
time_gmtime	290	369
file_readline	330	368
instancemethod_dealloc	321	368
set_pop	335	367
set_traverse	329	366
set_init	332	365
PyEval_CallObjectWithKeywords	309	363
dictitems_iter	324	363
PyNumber_Index	323	362
PyThreadState_New	320	362
getset_set	327	362
int_float	328	362
frame_getsetlist	320	361
type_set_name	323	361
buffer_getsegcount	317	360
builtin_coerce	321	360
code_hash	326	360
func_memberlist	320	360
int_bit_length	321	360
string_title	323	360
proxy_repr	300	359
signal_methods	320	359
float_methods	320	358
dictiter_iternextvalue	310	357
fill_classic_mro	316	357
type_members	320	357
PyErr_CheckSignals.part.6	306	356
dictviews_as_number	312	356
frozenset_as_number	312	356
posix_confstr	318	356
r_long	325	356
slot_tp_call	319	356
PyModule_AddIntConstant	307	355
instance_as_number	312	355
subtype_dict	328	355
Py_VaBuildValue	314	354
buffer_str	319	354
imp_get_suffixes	313	354
wrap_binaryfunc_l	312	354
wrap_binaryfunc_r	312	354
string_as_number	312	353
PyDict_GetItem	313	352
float_as_number	312	352
proxy_as_number	312	352
set_reduce	317	352
bool_as_number	312	351
long_as_number	312	351
marshal_load	314	351
int_as_number	312	350
signal_getitimer	309	350
string_decode	312	350
string_encode	312	350
PyTuple_Pack	312	349
PyType_ClearCache	307	349
get_range_long_argument	301	349
type_richcompare	308	349
list_resize	312	348
profile_trampoline	304	347
range_repr	312	347
SystemExit_init	306	346
int_and	313	345
int_xor	313	345
on_completion	307	345
int_or	313	344
wrap_coercefunc	304	344
type_set_module	303	343
_PyArg_ParseTupleAndKeywords_SizeT	282	341
builtin_next	304	341
slot_sq_ass_slice	299	341
EnvironmentError_clear	292	339
string_swapcase	299	339
check_class	302	338
object_reduce	300	338
warnings_warn	300	338
SyntaxError_traverse	291	336
set_as_number	312	336
_PyWeakref_ClearRef	291	335
PyArg_ParseTupleAndKeywords	282	334
SystemExit_dealloc	290	333
func_regex_first_group_match	280	333
_PyThread_CurrentFrames	284	332
dict_iteritems	292	331
_PyLong_NumBits	290	330
_codecs_functions	288	330
set_intersection_multi	283	330
IO_creadline	292	329
_PyTuple_MaybeUntrack	283	329
dict_new	296	329
smallmax	296	329
marshal_loads	290	328
object_format	290	328
NullImporter_init	285	327
PyObject_GetAttrString	279	326
func_glob	292	326
inittime	292	325
zipimporter_get_data	289	325
SyntaxError_members	280	324
posix_read	289	324
PyModule_New	286	323
buffer_length	285	323
PyInt_FromSize_t	281	322
PyString_InternInPlace	275	322
dictview_repr	284	322
PySequence_DelSlice	277	321
int_true_divide	281	321
time_localtime	282	321
PyLong_FromLongLong	276	320
method_is_overloaded.isra.19	267	320
PyMethod_New	282	319
escape_encode	281	319
imp_load_source	279	319
property_dealloc	278	319
tuplerepeat	283	319
struct_rusage_fields	272	317
type_getsets	280	317
IO_truncate	280	316
PyLong_FromLong	276	316
initcStringIO	277	315
int_int	283	315
stat_result_fields	272	315
_PyString_Resize	273	314
builtin_hasattr	273	313
string_item	277	313
Py_ReprEnter	275	312
float_float	276	312
get_newlines	275	312
tupleconcat	276	312
PyErr_Restore	273	311
PyOS_strtol	274	310
_PyInt_Init	274	310
slot_tp_richcompare	266	310
flags_fields	272	309
tupleslice	274	309
PyCFunction_NewEx	266	308
file_new	275	308
int_invert	273	308
type_clear	284	308
IO_cread	274	307
PyInt_FromSsize_t	265	307
instance_call	269	307
meth_dealloc	270	307
wrap_descr_get	268	307
BaseException_dealloc	258	304
PyInt_FromLong	265	304
PyList_GetSlice	264	304
PyLong_AsUnsignedLong	258	304
file_getsetlist	240	304
fastlex_IsPlainWord	259	303
slot_tp_descr_get	261	303
EnvironmentError_reduce	254	302
PyLong_AsSsize_t	261	302
PyObject_Call	264	302
time_sleep	267	302
IO_getval	267	301
proxy_compare	239	301
PyNumber_InPlaceFloorDivide	248	300
iter_iternext	262	300
list_concat	264	300
slice_repr	265	300
zipimporter_methods	256	300
PyNumber_InPlaceTrueDivide	248	299
code_compare	262	299
